Name,Category,Description,Audience
ChatGPT,AI Chatbot,OpenAI conversational AI — prompt patterns and productivity techniques,non-engineer
ChatGPT API,AI Chatbot,OpenAI GPT-4o API — parameters temperature streaming function calling and structured output,engineer
Claude,AI Chatbot,Anthropic Claude — prompt patterns for writing research and analysis,non-engineer
Claude API,AI Chatbot,Anthropic Claude API — system prompts streaming tool use and model selection,engineer
Gemini,AI Chatbot,Google Gemini — multimodal prompts and productivity techniques,non-engineer
Gemini API,AI Chatbot,Google Gemini API — model selection multimodal input streaming and grounding,engineer
Perplexity AI,AI Search,Perplexity AI — search prompts source filtering and research techniques,non-engineer
Perplexity API,AI Search,Perplexity Sonar API — search modes recency filters and streaming responses,engineer
Microsoft Copilot,AI Chatbot,Microsoft Copilot — prompt patterns for document summarisation and office tasks,non-engineer
Meta AI,AI Chatbot,Meta AI assistant — everyday prompt patterns for writing and research,non-engineer
GitHub Copilot,Coding Assistant,GitHub Copilot — inline completions chat slash commands and CLI usage,engineer
Cursor,Coding Assistant,Cursor AI editor — chat compose agent mode and codebase-aware prompting,engineer
Windsurf,Coding Assistant,Windsurf AI editor — Cascade agent flows multi-file edits and command palette,engineer
Continue.dev,Coding Assistant,Continue open-source AI coding assistant — config model selection and slash commands,engineer
Aider,Coding Assistant,Aider CLI pair programmer — architect mode ask mode add files and git integration,engineer
Copilot CLI,Coding Assistant,GitHub Copilot in the terminal — explain suggest and run shell commands,engineer
Amazon Q Developer,Coding Assistant,Amazon Q Developer — inline completions chat and AWS resource generation,engineer
Tabnine,Coding Assistant,Tabnine AI code completion — team training privacy mode and IDE integration,engineer
Codeium,Coding Assistant,Codeium free AI code completion — autocomplete chat and refactoring,engineer
v0.dev,Coding Assistant,Vercel v0 — prompt-to-UI generation with React and shadcn components,engineer
Bolt.new,Coding Assistant,StackBlitz Bolt — full-stack app generation from natural language prompts,engineer
Replit AI,Coding Assistant,Replit AI — Ghostwriter completions explain debug and generate features,engineer
Midjourney,Image Generation,Midjourney — parameters prompts aspect ratios and style controls,non-engineer
Midjourney Advanced,Image Generation,Midjourney advanced parameters — stylize chaos seeds permutations and pan/zoom,engineer
DALL-E 3,Image Generation,OpenAI DALL-E 3 — prompt crafting style modifiers and API generation,non-engineer
DALL-E API,Image Generation,OpenAI Images API — generate edit variations size quality and style parameters,engineer
Stable Diffusion,Image Generation,Stable Diffusion — prompts negative prompts samplers cfg scale and steps,engineer
Stable Diffusion WebUI,Image Generation,Automatic1111 WebUI — txt2img img2img extensions ControlNet and LoRA,engineer
Adobe Firefly,Image Generation,Adobe Firefly — generative fill text effects and image generation prompts,non-engineer
Ideogram,Image Generation,Ideogram AI — text-in-image prompts style presets and aspect ratio controls,non-engineer
Flux,Image Generation,Black Forest Labs Flux — model variants prompt crafting and API parameters,engineer
Leonardo AI,Image Generation,Leonardo AI — image generation model selection canvas and motion features,non-engineer
Kling AI,Image Generation,Kling video generation — text-to-video image-to-video and motion parameters,non-engineer
Runway ML,Image Generation,Runway Gen-3 — video generation editing tools and creative prompting,non-engineer
Suno AI,AI Tools,Suno AI music generation — prompt crafting genre style and lyrics techniques,non-engineer
Udio,AI Tools,Udio AI music generation — prompt patterns genre mixing and audio settings,non-engineer
ElevenLabs,AI Tools,ElevenLabs text-to-speech — voice selection stability similarity and API usage,non-engineer
ElevenLabs API,AI Tools,ElevenLabs API — voice synthesis streaming cloning and model parameters,engineer
Whisper,AI Tools,OpenAI Whisper speech-to-text — CLI usage model selection language and timestamps,engineer
Otter.ai,AI Tools,Otter.ai meeting transcription — recording highlights summary and export,non-engineer
Notion AI,AI Chatbot,Notion AI — writing assistance summarisation and database generation prompts,non-engineer
Grammarly AI,AI Tools,Grammarly AI — tone rewrite clarity and generative assist prompts,non-engineer
Jasper AI,AI Tools,Jasper AI content platform — templates Brand Voice and campaign generation,non-engineer
